evidence_id,record_type,source_commit,config_ref,target,horizons,base_information,candidate_information,representation,fit_range,selection_range,evaluation_range,controls,budget,recorded_status,allowed_conclusion,evidence_ref,metadata_sha256
official-compat-v1-t5-fcnn-occ-3-2-region-all-42-20-b5d25898,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,all,fcnn,legacy fold 2; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,00dd25fecdf27321e590fe9be2ddf84f1fc9923ac8cfe7619348620a14fd8cee
official-compat-v1-t5-fcnn-occ-3-2-region-h-42-20-e0b84337,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,h,fcnn,legacy fold 2; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,5a749b80457e8de715d77b1458194b2a28231d498947c52437ac2dcc9481fe58
official-compat-v1-t5-fcnn-occ-3-2-region-h_Ta-42-20-10694bc7,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,h+Ta,fcnn,legacy fold 2; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,e1200805d59ee7c5c58c355de3543435642f3a89b8489ea13e4b398670138486
official-compat-v1-t5-fcnn-occ-3-2-region-P-42-20-efc6687a,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P,fcnn,legacy fold 2; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,c162622f9c83c2a63569292abfb88a6a882ce2b1af47d93929d739bca1b6c4a8
official-compat-v1-t5-fcnn-occ-3-2-region-P_ps-42-20-500b545d,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P+ps,fcnn,legacy fold 2; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,eb4ccdfb243997e81917cdeffaae44d82e880fd0c6852098205397a4d3d9fbfe
official-compat-v1-t5-fcnn-occ-3-2-region-pe-42-20-0dcdb9ac,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,pe,fcnn,legacy fold 2; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,da090b5dd97ebf74edef8e6d9ecc53eb7ffad9df93ddeb18248c27b956fc8b37
official-compat-v1-t5-fcnn-occ-3-2-region-ps-42-20-b9129c74,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,ps,fcnn,legacy fold 2; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,19e49c0ed5dd19627eb9b6f60657d7eb5325badddb1de19769e41d197b9b30d2
official-compat-v1-t5-fcnn-occ-3-2-region-ps_pe-42-20-2dcf7a19,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,ps+pe,fcnn,legacy fold 2; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,9a1e0c2b96ed3ccefc6c868b80d2e42c585720b58b01fe7585eb57544d1511fc
official-compat-v1-t5-fcnn-occ-3-2-region-Ta-42-20-4f3d4a93,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,Ta,fcnn,legacy fold 2; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,4d2363d78f3c2557b3e2e2bb099c6fc45569ae49ec94f1aee8427a7dd5ecf349
official-compat-v1-t5-fcnn-occ-3-2-region-Ta_pe-42-20-5a0ab49d,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,Ta+pe,fcnn,legacy fold 2; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,4b6d6c81868e1233928fec71b8727e6917267760c3e1f293a6b524171613ce28
official-compat-v1-t5-fcnn-occ-3-3-region-all-42-20-8a588da1,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,all,fcnn,legacy fold 3; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,c70959d32b09439f3eb79e388fd71e70f380182e0f0abcf2e2b476ce6d9761b1
official-compat-v1-t5-fcnn-occ-3-3-region-h-42-20-3043c113,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,h,fcnn,legacy fold 3; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,165b0059e4062be2c3f7045253a5fe32b263f9b275da73c218d4945b00c4b8e4
official-compat-v1-t5-fcnn-occ-3-3-region-h_Ta-42-20-e21e89b9,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,h+Ta,fcnn,legacy fold 3; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,3379608280bfb3ec9ae92fe860f2ebc4f848a26ef2d7d83d8f7cc9c254f6451a
official-compat-v1-t5-fcnn-occ-3-3-region-P-42-20-f1462752,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P,fcnn,legacy fold 3; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,86c594e7efb2f92dd21dfdf283d78aee47f6c98846053d3876cfc04b033e1a51
official-compat-v1-t5-fcnn-occ-3-3-region-P_ps-42-20-c2d6b27f,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P+ps,fcnn,legacy fold 3; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,445108da0fe109e39c27f21422daab3b73400006204020396a0571f1a053c9da
official-compat-v1-t5-fcnn-occ-3-3-region-pe-42-20-e0c4045f,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,pe,fcnn,legacy fold 3; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,7671d9a54ce7496c7594e25060c1cc5fbffc00178aea4bbdd0c1b3d43dd0c353
official-compat-v1-t5-fcnn-occ-3-3-region-ps-42-20-2e133c6e,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,ps,fcnn,legacy fold 3; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,efb9b1e1f109acccd16d5b38de25e9ed9a3d819f1a6baebd4b71c4002496d008
official-compat-v1-t5-fcnn-occ-3-3-region-ps_pe-42-20-c3158706,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,ps+pe,fcnn,legacy fold 3; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,ecff05cd4ba7da1d7d79a57d4ebccf8ac88af34680710eea9fe70e193a23300a
official-compat-v1-t5-fcnn-occ-3-3-region-Ta-42-20-7b421299,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,Ta,fcnn,legacy fold 3; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,62a8abd0e5ebce325a7a0ca977ee6d23c7538ee112fcf0bcc031160f0d0ceb90
official-compat-v1-t5-fcnn-occ-3-3-region-Ta_pe-42-20-7e2406cc,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,Ta+pe,fcnn,legacy fold 3; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,f82bbabacfc2c8579ff3d3ea4e5ca3d3b416826f0727eb9dbb136bde738bcad8
official-compat-v1-t5-fcnn-occ-3-4-region-all-42-20-6663a14d,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,all,fcnn,legacy fold 4; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,a7f0706e1b6e4ecb2648dd58fd20ae450c3a9e97a7ddb2db11d88766cac157ec
official-compat-v1-t5-fcnn-occ-3-4-region-h-42-20-c9409665,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,h,fcnn,legacy fold 4; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,3811ed4fe131e61610576623c55a9d46f728c34af663738f11747304901ea3a1
official-compat-v1-t5-fcnn-occ-3-4-region-h_Ta-42-20-7a0a7725,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,h+Ta,fcnn,legacy fold 4; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,dbc07216d7b3386050108cb6e4a4a06353afe5688078c61081975c634d130956
official-compat-v1-t5-fcnn-occ-3-4-region-P-42-20-4ce8f99a,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P,fcnn,legacy fold 4; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,09f04d11cedf30b685b82fe7b3c83b960266886e987cc00c093cec052856aea2
official-compat-v1-t5-fcnn-occ-3-4-region-P_ps-42-20-bd805625,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P+ps,fcnn,legacy fold 4; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,979c9ceeec7df7950279cd5f8d16331ef5db39ccd1ca859f400443638f712c6f
official-compat-v1-t5-fcnn-occ-3-4-region-pe-42-20-5f2906d3,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,pe,fcnn,legacy fold 4; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,1925f1792f7a244510eb4c6d858318473cf5aa46cdeed6c3178573906059fd4e
official-compat-v1-t5-fcnn-occ-3-4-region-ps-42-20-e1a6c746,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,ps,fcnn,legacy fold 4; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,5f7eb5935e0ec40737b67c7b90bb9ab7685e3c549fbecad98f1b51624e1762a8
official-compat-v1-t5-fcnn-occ-3-4-region-ps_pe-42-20-235b7d04,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,ps+pe,fcnn,legacy fold 4; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,2a4a55b4a330748e51fdc299217b958337845e235c685bbd02c63eb8ca1396fb
official-compat-v1-t5-fcnn-occ-3-4-region-Ta-42-20-4a5bf8c1,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,Ta,fcnn,legacy fold 4; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,29a7d59a284835b6d52d6cc62da00326bade77ce75c90e891538108c094b1638
official-compat-v1-t5-fcnn-occ-3-4-region-Ta_pe-42-20-c58995d1,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,Ta+pe,fcnn,legacy fold 4; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,43f254c815ef809e1feb42ec089f7bb15c7197d27c499d7816141e7429525e6c
official-compat-v1-t5-fcnn-occ-3-5-region-all-42-20-b61bb103,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,all,fcnn,legacy fold 5; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,be9c75233a011075a7d15c34e84b6c8d97c903de5b824fd8c9498285ada5cd5a
official-compat-v1-t5-fcnn-occ-3-5-region-h-42-20-04b0af8f,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,h,fcnn,legacy fold 5; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,2df4c3bbf307d9c95c18553ff32eb6ca0f5f16b55edec6c1b08cbb35bfb8fe79
official-compat-v1-t5-fcnn-occ-3-5-region-h_Ta-42-20-c98a0b6e,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,h+Ta,fcnn,legacy fold 5; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,a5f3ae7aaa2aee6c236756afc3c652c8b63e8509d1db47ee603a7ed6e04ca891
official-compat-v1-t5-fcnn-occ-3-5-region-P-42-20-611e6252,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P,fcnn,legacy fold 5; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,89b8d180c55b229fa6c48bf7c64a20796584d9692310ce30caa76013f1b224e9
official-compat-v1-t5-fcnn-occ-3-5-region-P_ps-42-20-f3c18e22,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P+ps,fcnn,legacy fold 5; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,d3a3e7f7d31b4a6fb0336a9b57b825322361d24872991be8e7c06be46afdb680
official-compat-v1-t5-fcnn-occ-3-5-region-pe-42-20-ac468e3c,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,pe,fcnn,legacy fold 5; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,49e8c393754e011ca9894a14bcc4f9d6b657c37080ee9b8fb2829d3a8b5f1107
official-compat-v1-t5-fcnn-occ-3-5-region-ps-42-20-45da17b7,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,ps,fcnn,legacy fold 5; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,2c4a6c6f7ecf048dd48ab8541157c3e331eb50c8357a5c13461362f4816e81d6
official-compat-v1-t5-fcnn-occ-3-5-region-ps_pe-42-20-4f297a84,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,ps+pe,fcnn,legacy fold 5; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,76972aa7ca97bced2c0511a9d2cbd9990de2de8f675f13b656429ada050f4ddc
official-compat-v1-t5-fcnn-occ-3-5-region-Ta-42-20-ae5b2cdd,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,Ta,fcnn,legacy fold 5; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,09249201e6c66541118df35a7e18115f02700fa062510873f79db448ab896411
official-compat-v1-t5-fcnn-occ-3-5-region-Ta_pe-42-20-246f9002,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,Ta+pe,fcnn,legacy fold 5; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,1c5df8c4cbb399a41eb68c41a5bfd68ea365e8f832d06d184ad10e4e15ad7ac1
official-compat-v1-t5-fcnn-occ-3-6-region-all-42-20-de483bac,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,all,fcnn,legacy fold 6; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,32e66588912f120e7fabf86e6128809d628f65e32f0895a2c3b7a15c785337d0
official-compat-v1-t5-fcnn-occ-3-6-region-h-42-20-40b872eb,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,h,fcnn,legacy fold 6; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,2685d1a41db17da6f1575360550b6937e883977945ab063144e8faca657f74e0
official-compat-v1-t5-fcnn-occ-3-6-region-h_Ta-42-20-3ecbc2df,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,h+Ta,fcnn,legacy fold 6; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,9a5d25e5e87eae421514616ffae7eabe7f2e6a6b6bd11ce26a25c4bbbeb55bcc
official-compat-v1-t5-fcnn-occ-3-6-region-P-42-20-75965edc,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P,fcnn,legacy fold 6; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,71eb650864c458efbc7233aca7eb2c53cde00eb62a8108334b0f385ef8b6bf98
